blunt	钝
sportsmanship	运动家精神
ethyl acetate	乙酸乙酯
vivisection	活体解剖
Gaza	加沙
windstorm	风暴
hypocorism	小名
red meat	红肉
Hudson Bay	哈得孙湾
zombie	丧尸
dilemma	两难
anchorman	主持人
watch out	注意
decay	腐烂
burr	毛刺
weaver	织布工
churchgoer	经常去做礼拜的人
flair	锐利的眼力
jellify	成凝胶状
hemochromatosis	血色病
nuncio	罗马教廷大使
obstipation	顽固性便秘
photometry	光度测定
avidity	热望
glossolalia	语意不清
entangled	羸
resh	希伯莱文第廿个字母
Addis Ababa	亚的斯亚贝巴
autoclave	高压灭菌器
apartment	公寓
sofa	沙发
formation	编队
growth ring	生长轮
Filipino	菲律宾语
conidium	分生孢子
divide	分
European	欧洲人
Newtonian	牛顿的
conger	康吉鳗科康吉鳗
restive	倔强的
inconveniently	不方便地
tare	皮重
rowlock	桨架
derived function	导函数
for free	免费
ham it up	表演过火
recuse	要求撤换
economist	经济学家
guffaw	哄笑
bassinet	摇篮
savory	咸
Germanic	日耳曼语
everlasting	永恒的
fantastically	空想地
flirt	玩弄
infuriate	激怒
unifoliate	单叶
general practitioner	全科医师
newsstand	报摊
bacterium	细菌
thunderbird	雷鸟
reconnoitre	侦察
sea anemone	海葵
married couple	夫妇
program music	标题音乐
cookie cutter	饼干压模
Wellington	惠灵顿
consistence	坚固性
gut	肠
crystal clear	明澈的
pumpkin	南瓜
juvenile	少年
plutocracy	富豪统治
outage	储运损耗
ripe	熟
tenuous	纤细的
perceptible	看得见的
anaerobe	厌氧性生物
bandoleer	斜佩肩上的子弹带
high-octane	高辛烷值的
earless	听觉不佳的
psychological	心理学的
misanthropic	厌恶人类的
geometrid moth	尺蛾
night shift	夜班
forefinger	食指
surpass	超
euphoria	欣快症
short-term	短期
affluent	富裕的
cuboid	长方体
bus	公共汽车
fishing	钓鱼
autograph	亲笔签名
chromosphere	色球
imprecisely	不严密地
surgically	用外科方法
whitethroat	白喉雀
withers	马肩隆
game show	电视播送的游戏
burdock	牛蒡
second gear	二档
qibla	朝向风
nonce word	而临时造的词
Saskatoon	萨斯卡通
Apennines	亚平宁山脉
Portugal	葡萄牙
lubricate	润滑
proctitis	直肠炎
Old English	古英语
oxidation	氧化作用
observant	怗
diarchy	两头政治
myna	八哥儿
paginate	标页数
pastor	牧师
watermark	水印
gimbal	万向节
sea trout	海鳟
per se	本身
also known as	獠
Colorado beetle	科罗拉多金花虫
poverty trap	贫困陷阱
Persian	波斯语
duet	二重奏
slowly	慢慢
noise	声音
areola	网眼状空隙
zipper	拉链
slog	猛击
Yakut	雅库特语
designer drug	化合致幻药
flimsy	薄
grains of paradise	窄叶豆蔻
mesocarp	中果皮
Bronx	布朗克斯
folksy	和气的
bareback	无鞍的
binaural	有两耳的
flowerpot	花盆
unnoticed	不引人注意的
passivity	被动性
twenty-second	第二十二
temperature	温度
ally	盟友
confluence	合流
centrifuge	离心机
hemiplegia	半身不遂
unrestricted	无限制的
fossilization	化石化
consume	耗
croquette	炸丸子
intracellular	细胞内的
landlady	女房东
phenylketonuria	苯酮尿症
thallophyte	叶状植物
semiconductor	半导体
bodice	女服的紧身衣
boulevard	林荫大道
ghetto	贫民区
Times Square	时报广场
remonstration	规劝
dual	双重的
repression	镇压
annotation	注解
muscle	肌肉
as much as possible	尽量
handwritten	手写的
astrological	占星的
cubit	腕尺
didactically	教训地
semiannual	每半年的
payer	支付者
pimpernel	紫繁篓
microeconomic	个体经济
presage	预兆
sundae	圣代
polymerize	聚合
electric motor	电动机
hunting lodge	小屋
westernmost	最西的
East African	东非的
Iceland	冰岛
sovereignty	主权
occur	发生
cat	猫
woodwork	木制品
communize	使共有
imperfect	有缺点的
fossa	小窝
golfer	打高尔夫的人
sassafras	黄樟
sketch	素描
supermarket	超级市场
street address	地址
aeolian harp	风弦琴
vermin	害虫
vinyl	乙烯基
befool	愚弄
burgher	公民
transcendental number	超越数
postfix notation	后缀表示法
govern	治
meaning	意义
justify	辩解
municipality	城
acuity	敏锐
amyotrophic lateral sclerosis	肌萎缩侧索硬化症
girdle	带
notice board	布告牌
chemical substance	化学制剂
cold front	冷锋
World War II	第二次世界大战
fatal	致命的
inflate	膨胀
voluptuously	肉感地
unit of measurement	测量单位
base pair	碱基对
subjugable	可征服
arsenic acid	砒酸
facial nerve	面神经
Gansu	甘肃
East Timor	东帝汶
mighty	伾
silicone	硅树脂
abide by	遵
assembly line	装配线
pass off	终止
American mink	北美水貂
Bohemian	放浪者
adverb	副词
dingy	暗黑的
parhelion	幻日
personal pronoun	人称代词
phlox	草夹竹桃属植物
tor	突岩
toxicological	毒物学的
saccharide	糖类
passive voice	被动语态
string quartet	弦乐四重奏曲
modal verb	情态动词
worth	价值
durance	监禁
lilac	丁香
platinum	铂
attributable	可归因的
counterbalance	相抵
prerequisite	前提
quid pro quo	交换物
tableau	生动的场面
vacuum cleaner	真空吸尘器
hank	一束
topsail	上桅帆
kindling	点火
airsickness	晕机
police dog	警犬
helminth	蠕虫
pragmatism	实用主义
New Mexican	新墨西哥人
Holy Saturday	圣周六：即复活前夕，旧称望复活
Yellow Sea	黄海
mangle	乱砍
feed	哺育
convenient	方便
exhume	发掘
sexism	性别歧视
neutral	中性
pepper	胡椒
fond	喜爱的
backhand	左斜体
symbiotic	共生的
heavenly	漂亮的
adversary	对手
orca	逆戟鲸
taximeter	计程器
usefully	有用地
headsail	前桅前方的帆
rock group	摇滚乐团
Swiss Confederation	瑞士联邦
verify	验
therapy	治疗
creed	教义
rebuke	指责
feeble	孱
psittacosis	鹦鹉病
putrefactive	腐败的
aft	在船尾
fire-eater	消防员
microevolution	微进化
newspaper	报纸
prodrome	前驱症状
abut	邻接
amino acid	氨基酸
machine code	机器代码
perusal	熟读
vocally	用声音
amniotic fluid	羊水
waistline	腰围
discrepancy	差异
vein	静脉
toastmaster	主持人
bounce	跳
asynchronous transfer mode	ATM
couch grass	茅
sedate	沉着的
Dido	黛朵
Cenozoic	新生代
requiem	挽歌
Brown	布朗
cider	苹果酒
banns	结婚预告
calque	借译
incus	砧骨
winter squash	笋瓜
alembic	蒸馏器
Assyria	亚述
thalamus	花托
legal	合法的
blood plasma	血浆
dear	贵
porter	门房
rapprochement	和解
penetration	渗透
freely	自由地
deathblow	致命的打击
passively	被动地
thence	从此
virology	病毒学
masochist	受虐狂者
incomprehensibility	不可理解
patriarchy	父权制
container ship	集装箱船
transference	迁移
bone marrow	骨髓
lower class	下类
Rwanda	卢旺达
proclamation	发表
Virgo	室女座
furthermore	而且
lush	芾
solipsism	唯我论
rowan	欧洲花楸
barbiturate	巴比土酸盐
anarchistic	无政府主义的
diaeresis	分音符
illicit	苟
hydrate	水合物
phenotype	表现型
skiing	滑雪
stoichiometric	化学计量
vicereine	总督夫人
bacteriologist	细菌学家
Balzacian	巴尔扎克的
Romeo	罗密欧
Somali	索马里语
arraign	传问
vomiting	呕吐
baste	绗
archly	狡猾地
appreciate	感谢
waterproof	防水
unsuccessfully	失败地
beryl	绿柱石
careerist	野心家
sweatband	防汗带
whisker	感觉毛
acutely	尖锐地
wheelbarrow	独轮车
anvil	铁砧
Aug	8月
lesser yellowlegs	小黄脚鹬
linear perspective	直线透视图
luteal phase	黄体期
New South Wales	新南威尔士
flow	流
address	地址
strengthen	加强
resemble	像
acid rain	酸雨
series	系列
neutralization	中和作用
megahertz	兆赫
subtly	敏锐地
adenoidectomy	增殖腺切除术
incumbent	依靠的
entomologist	昆虫学家
trainee	席上
pasteurize	用巴氏法灭菌
talkie	有声电影
oboe	双簧管
feijoa	费约果
Bible	圣经
kingship	王位
additionally	加之
blood sausage	血肠
nameless	无名
Berber	柏柏尔语
blackthorn	李木手杖
ecumenical	一般的
elite	精锐
booty	战利品
karyotype	核型
overcapitalize	投资过度
transalpine	山北的
proteome	蛋白质组
coronary heart disease	冠心病
Chernobyl	切尔诺贝利
limekiln	石灰窑
discombobulation	困惑
dog collar	狗脖套
Leicester	莱斯特
disclose	揭露
acute	锐
panoply	全套披甲
carnal knowledge	性交
lump sum	一次性付款
robbery	抢劫
haematology	血液学
nonprofit	非赢利的
adrenocorticotropic	促肾上腺皮质的
tetrahydrocannabinol	四氢大麻酚
counterfactual	不确实
Dubrovnik	杜布罗夫尼克
Kazakhstan	哈萨克斯坦
dick	阴茎
opera	歌剧
Limousin	利穆赞
cruise missile	巡航导弹
Pangaea	泛大陆
Poland	波兰
airplane	飞机
monolith	独块巨石
cleanse	涤
infantile	婴儿的
bilge	船底漏水
nasal	鼻的
angelic	天使的
pontoon	浮筒
caribou	驯鹿
epileptic	癫痫的
ohmic	欧姆的
weather deck	露天甲板
nitrogen cycle	氮循环
m	百万
argentite	辉银矿
wisteria	紫藤
olive branch	橄榄枝
valence electron	价电子
Scythian	西徐亚语
England	英格兰
monopolize	揽
manager	经理
praying mantis	螳螂
dampen	浥
uncooked	生
concurrent	一致的
veronica	婆婆纳属
white willow	白柳
artful	黠
aristocratic	贵族的
shipper	装货者
Persepolis	波斯波利斯
buckshot	大型铅弹
eaves	檐
take a bow	鞠躬
insemination	授精
rebirth	再生
oxide	氧化物
acrocentric	具近端着丝点的
Bay of Bengal	孟加拉湾
Philippines	菲律宾
all along	始终
syndicate	辛迪加
house arrest	软禁
monger	商人
disinterment	发掘
compromise	妥协
bight	海湾
caisson disease	潜水员病
dead load	静负荷
decile	十分位数
duke	公爵
mortality	死亡率
seventhly	在第七
swineherd	养猪的人
thinker	思想家
body mass index	体重指数
cladode	叶状茎
callipygian	健美臀部的
variance	方差
disregard	拚
chest	胸
fashion	时尚
enlist	登记
dissipate	㤷
pick-me-up	含酒精饮料
dearest	肉
bedstead	床架
competently	胜任地
amorously	好色地
cuscus	有袋类的一种树上动物
megalomaniacal	夸大狂的
papaya	木瓜
polypeptide	多肽
bonobo	倭黑猩猩
gingko	银杏
bobbysoxer	少女
meat market	肉类市场
New Zealand	新西兰
Massachusetts	麻萨诸塞
iritis	虹膜炎
elucidation	说明
predecessor	前任
sphere	球
speaker	扬声器
chum	密友
balsam	香油
Bavarian	巴伐利亚语
obtuse	钝
loincloth	缠腰带
close-hauled	迎风开的
dive bomber	俯冲轰炸机
druidism	德鲁伊教
motorcade	汽车行列
reductionism	简化论
French toast	西多士
coagulation	凝聚
indignation	义愤
Swede	瑞典人
account	帐
tapestry	锦
foot	脚
stick up	䐈
blain	脓疱
heroism	英雄主义
enrage	激怒
discovery	发现
cadmium	镉
eucalyptus	桉树
huffy	发怒的
bilabiate	两唇的
hypsometer	测高计
minor premise	小前题
tomato sauce	番茄沙司
firebug	放火者
wizen	凋谢的
lesser panda	小熊猫
spiritually	在精神上地
small intestine	小肠
nominal	名义上的
resolve	解决
bluish	带青色的
shave	剃
retain	保持
e	E
sustainability	可持续性
broccoli	西兰花
oystercatcher	蛎鹬
sinister	黑
ergosterol	麦角甾醇
hypothetically	假设地
intruder	侵入者
lingo	语言不知所云
sabot	木鞋
menagerie	动物园
pollination	授粉
prima ballerina	首席女演员
Soviet Socialist Republic	苏维埃社会主义共和国
futile	枉然
glow	发热
alteration	变动
icicle	冰柱
imposition	征收
gnarl	节
grid	网格
violence	暴力
Anglican	英国国教徒
Isaac	艾萨克
antinomian	主张废弃道德律的
brunette	黑发
underbelly	下腹部的
vixen	雌狐
clothesline	晒衣绳
mashed potato	薯泥
icing	糖霜
table tennis	乒乓球
look forward	望
collector	收藏家
nod	点头
dull	钝
appreciable	可感知的
peremptory	强制的
mundane	现世的
categorize	分类
exhumation	发掘
causation	原因
territoriality	地盘性
stocktaking	存货盘点
Fourier series	傅里叶级数
Ferris wheel	摩天轮
cardiology	心脏病学
beautify	美化
dissembler	伪君子
goatherd	牧羊人
North Pole	北极
menstrual cycle	月经周期
deterioration	变质
irk	使厌倦
coach	教练
turn over	翻转
hybrid	杂种
flagstone	石板
swoon	昏厥
apse	拱点
degas	除去瓦斯
eternally	永恒地
etiolate	使变青白
formulate	发明
greyhound	灰猎犬
lexicology	词汇学
NW	西北的
resurrect	复活
shop assistant	店员
scrofula	瘰
Yahweh	雅威
jar	罐
anteater	食蚁兽
encapsulate	封装
theoretician	理论家
falsify	歪曲
rifleman	步枪兵
magnetic resonance imaging	磁共振成像
saccharin	糖精
antiquary	古物研究者
certifiable	可保证的
belle	美女
bifurcate	分叉
cranesbill	陇牛儿苗科
fountain	喷泉
milkmaid	挤奶女工
snuffbox	鼻烟盒
leotard	紧身衣
Kaluga	卡卢加
gangling	瘦长的
exhaust system	排气系统
Kenya	肯尼亚
Wales	威尔士
mite	螨
drone	雄蜂
lactase	乳糖酶
anachronism	时代错误
bone	骨
crayon	蜡笔
harridan	老太婆
orientation	方向
from time to time	间或
larynx	喉
tentacular	有触手的
Vietnam War	越南战争
People's Republic of China	中华人民共和国
nephritis	肾炎
paper mill	造纸厂
swagger stick	轻便手杖
transient ischemic attack	暂时性缺血性发作
speech disorder	言语失常
Saint Petersburg	圣彼得堡
spry	精神好的
rotten	烂
stuffing	馅
purview	权限
wrecker	失事现场清理人
shears	剪刀
stillborn	死产的
acrogen	顶生植物
irascible	暴躁
vest	背心
esoteric	神秘
prosecutor	原告
manoeuvre	调动
mantel	壁炉架
scrimmage	混战
accelerometer	加速度计
secondment	借调
nuance	细微差别
si	手太阳小肠经
gem	宝石
redirect	重定向
tenant	房客
bleeding	出血
executioner	刽子手
Dorado	剑鱼座
vasculitis	血管炎
denature	使改变本性
unrelated	不相关的
pantograph	缩放仪
populist	人民党员
ptarmigan	雷鸟
theistic	有神论的
ASEAN	东南亚国家联盟
contents	目录
watchband	表带
graph paper	坐标纸
pineal gland	松果腺
ink eraser	擦墨器
doubletree	双驾横木
relax	弛
big	大
tick	蜱
Serbian	塞尔维亚语
continental shelf	大陆架
tempt	诱惑
appearance	容
Chichewa	尼昂加语
gladly	高兴地
fraction	分数
maiden	少女
simultaneous	同时的
adjective	形容词
chamberlain	侍从
circumduction	环行运动
Cotonou	科托努
air conditioning	空气调节
propositional logic	命题逻辑
aureole	光轮
improper fraction	假分数
notwithstanding	虽然
swan	天鹅
pass	过
fruitless	不结果的
proficient	熟练
crypt	土窖
preclude	预先排除
linchpin	制轮楔
platform	台
fame	声誉
public domain	公有土地
Narcissus	水仙属
frugal	俭
cowled	带头巾的
debilitate	使衰弱
radiolarian	散线虫类的各类动物
allele	等位基因
Euclidean space	欧几里德空间
night owl	猫头鹰
subsoil	心土
Eritrea	厄立特里亚
image	像
bespeak	订
donkey	驴
chopper	切碎器
angel	天使
herder	牧民
puzzling	含糊不清的
absorbent	吸收剂
caravan	商队
artificial horizon	人工地平仪
incendiary	放火的
subcortical	皮质下的
haunted	闹鬼的
flamethrower	火焰喷射器
wedding ring	结婚戒指
she-goat	㺂
sea cucumber	海参
safety catch	安全挡
dogsled	狗拖的雪橇
tub	桶
robust	壮
field glass	野外镜
lay off	偃
Caelum	雕具座
muskmelon	香瓜
bald-headed	秃头的
lethal	致命的
Navajo	纳瓦霍语
Bactrian camel	双峰骆驼
lugubrious	可怜的
intransitive	不及物
pectin	果胶
triumvirate	三人执政
Westminster Abbey	西敏寺
suspension bridge	吊桥
ovary	卵巢
rainwater	雨水
quarrelsomeness	喜吵架
Nicaragua	尼加拉瓜
galactic	极大的
extinguish	灭
remember	记得
thief	贼
ionic	离子的
tamarind	罗望子
buyout	工作人员有偿离职方案
tagged	示踪的
retrieve	重拾
Down syndrome	唐氏综合症
hatefully	可憎地
demur	提出异议
cowherd	牧牛者
marinate	腌泡
outlook	前途
specificity	特异性
Ovid	奥维德
blast furnace	高炉
Kursk	库尔斯克
double	双重的
delta	三角洲
save	救
rudiment	退化器官
inhibitor	抑制剂
tasty	好吃
flying fish	飞鱼
fondle	爱抚
astrocyte	星形细胞
flip	弹
ectoparasite	皮外寄生物
gametophyte	配偶体
impeachment	弹劾
monoplane	单翼机
superfamily	总科
borax	硼砂
human right	人权
oxidization	氧化
like	喜欢
upriver	上游的
soundness	稳固
lithosphere	岩石圈
clip	剪
neuropathy	神经病
spoilt	坏
photochemical	光化学的
epiphyte	附生植物
eviscerate	取出内脏
infrequent	稀少的
unborn	未来的
mugwort	艾草
snow-covered	被雪覆盖的
optical disc	光盘
flea	跳蚤
eyebrow pencil	眉笔
altar boy	祭台助手
steakhouse	牛排餐厅
a little	一点
level	平
cow parsley	土当归
penguin	企鹅
dejection	沮丧
lava	熔岩
loaded	趁钱
coder	编码器
replica	复制品
rheology	流变学
canoe	独木舟
castanets	响板
scrag	颈肉
magnetometer	磁力计
untalented	没有天赋的
unfortunately	不巧
elitism	精英主义
rainstorm	暴风雨
visa	签证
radio wave	无线电波
Europe	欧洲
vow	誓
void	虚
space	空间
diction	吐字
tragic	惨
crabbed	乖戾的
elevated	提高的
federalization	联邦化
monstrously	奇怪地
leaven	酵母
hunchback	驼背
