explanation	maelezo
afresh	upya
argument	hoja
termite	mchwa
contemporary	hirimu
cheekbone	kitefute
spinning	mpururo
season ticket	kiangazi tikiti
Macedonian	kimasedonia
modesty	haya
gratitude	shukrani
bier	jeneza
presence	hudhurio
robe	kanzu
ovine	kondoo
parallelogram	msambamba
deplore	-juta
flatfish	tenga
registration	upimaji
vowel	vokali
flexibility	kinamo
Guadeloupe	Guadeloupe
leave	kuondoka
grab	-shika
document	hati
functionality	kazi
pull	-vuta
short	fupi
cloudburst	maporomoko ya mvua
ballot	kura
tinsmith	banyani
user	mtumiaji
abash	-aibisha
velvet	kiludhu
interviewee	mhojiwa
Eritrean	Mweritrea
Fallopian tube	futuza
genetics	jenitikia
designation	jina
tribe	kabila
derision	dhihaka
confront	-suta
bland	dufu
grinding	ukakasi
sterile	gumba
jeer	-vuma
lopsided	mshazari
crumbly	tifu
horsewhip	mjeledi
sanderling	chokowe tumbo-jeupe
glove	glavu
economically	udohusohu
maternity	umama
zirconium	zirikoni
pare	chonga
plentiful	neemevu
steel	chuma cha pua
campaign	kampeni
unintelligible	-meguka
discernment	hadhari
ahead	mbele
paramour	mwanamume
barber	kinyozi
loft	uchaga
unrefined	guru
throw-in	kurusha mpira kwa mikono
knowledge	elimu
conk	kufa
ticket	tiketi
rulership	serikali
look out	tazamo nje
Thoth	uwezo
contentment	ridhaa
affect	-husu
errand	utume
daub	rasha
baptize	-batiza
examination	mtihani
coastal	-a pwani
proletariat	babakabwela
xylophone	marimba
gizzard	firigisi
Bolivian	Mbolivia
rupee	rupia
egg-shaped	namna ya yai
moose	elki
Putin	Putin
Lithuanian	kilithuania
issue	jambo
tie	-funga
diary	shajara
thumb	kidole gumba
utterance	neno
spitting cobra	swila
Athens	Atena
indecent	-chafu
tabernacle	hema
boarding house	kibao chengo
not	si
lair	malazi
appertain	sikiliza
buttonhole	kiua
shooting star	kimwondo
entrust	-amini
roam	-zurura
barricade	kizuizi
cavern	pango
originate	-tokana
iceberg	mwamba wa barafu majini
coconut milk	tui
uranium	urani
Durban	Durban
Spanish	Kihispania
bereavement	ukiwa
objection	dakizo
fetus	mimba
pavement	lami
add	-jumlisha
stunt	-vizia
daydream	-ota
weigh	-pima
mail	posta
black art	uchawi
Venezuela	Venezuela
throng	-songa
find out	-ngʼamua
fund	mchango
castor oil	nyonyo
Gabon	Gabon
sectarianism	matengano
spectrum	upinde wa jua
note	cheti
sir	bwana
john	choo
calabash	buyu
timorous	oga
garner	pokea
breathing	pumzi
railroad car	behewa
sister-in-law	shemeji
flange	zinara
factor	ajili
mons veneris	kinena
medal	medali
secondary	sekondari
xenon	zenoni
Ceres	Seresi
pewter	pyuta
purposely	kusudi
spendthrift	mbadhirifu
Saturday	Jumamosi
exhaust	-chosha
thirdly	tatu
praxis	desturi
woodpecker	gogota
tomorrow	kesho
obstruct	-zuia
deontic logic	ruhusa
five	tano
self-government	kujitawala
wrist	kiwiko
wormwood	pakanga
continuation	uendelezo
immunize	-chanja
grindstone	cherehe
parasite	kimelea
batter	kinyunga
Costa Rica	Kostarika
red pepper	pilipili hoho
besmirch	-sawidi
lick	-lamba
peg	chango
matchbox	ganda la kibiriti
blaspheme	-kufuru
Mars	Meriki
candid	safi
rhyme	kina
selection	uteuzi
chic	lonyo
recognizable	-julikana
wooing	uchumba
speculation	ubazazi
draughts	dama
syntax	nahau
aircraft carrier	mchukuzi
minor scale	skeli ya la
Leninism	ulenini
foster mother	kuza mama
francium	fransi
knout	kambaa
source	chanzo
Nice	Marekani
joke	mzaha
wheat	ngano
clearance	pambizo
leak	vuja
concur	-suduku
exuberance	ukunjufu
planner	mpangaji
disloyalty	ukengefu
repetition	utondoti
birch	mbetula
graveyard	makaburi
Catholicism	Ukatoliki
operator	opareta
wagtail	kibikula
chromium	kromi
Lagos	Lagos
blacken	-chafua
destroy	haribu
windiness	hewa
nail	msumari
November	Novemba
disorder	chafuko
adjacency	mtaa
accost	-salimia
attract	-vutia
pirate	haramia
Libra	mizani
voter	mpigakura
strait	mlango wa bahari
scooter	pikipiki
tsetse	chafuo
domestic	-a kinyumba
complainant	mlalamishi
Arabian	Waarabu
Kilimanjaro	Kilimanjaro
Zoroastrianism	uzoroastro
ease	neema
grandpa	babu
dagger	jambia
canid	mbwa
quick	-epesi
excited	haraka
firewood	kuni
fit	pindupindu
disappear	-tokomea
forthwith	sasa hivi
announcement	tangazo
bully	-tadi
mood	kinyongo
oblige	-bidi
seaman	baharia
command line	mstari amri
virgin forest	mwitu pasipokanyaga mtu
snowflake	chembe ya theluji
bowling	mchezo wa kuvingirisha matufe chini
trackball	kitufe cha kompyuta kinachoendesha kishale
Polish	Kipolandi
outrigger	rengu
service	huduma
educator	mwalimu
millstone	mango
embargo	katazo
suture	mshono
manual	mwongozo
tapeworm	tego
Lent	kwadragesima
refectory	jumba la maakuli
tungsten	wolframi
applicative	-e
Middle East	Mashariki ya Kati
Ethiopia	Ethiopia
dread	kikuli
protagonist	nyota
point	nukta
hum	kivumi
can opener	kifungua kopo
sculptor	mchongaji
paved	-a lami
surmise	dhana
hail	mvua ya mawe
laboratory	maabara
raspberry	rasiberi
Formosa	Jamhuri ya China
hypertext	matinifora
full	-nene
roll up	-peta
ward	kata
kin	ujamaa
Benin	Benin
nighttime	ngono
block	pande
diameter	kipenyo
assurance	nguzo
reproach	mashtaka
mucilage	kinamasi
boil over	-foka
stingy	nyimivu
reptile	mtambaazi
osprey	kipungu
ferryman	mvushi
multiplication	dharuba
clergyman	padre
walker	mtembezi
muezzin	mwadhini
mobile	sabili
Florida	Florida
Hermes	Herme
payment	lipo
unjust	dhalimu
hyena	fisi
encyclopedia	kamusi elezo
inside	ndani
transpire	kufa
bundle	furushi
ruling	utawala
tar	lami
directory	saraka
metropolis	jiji
parish	usharika
brass	shaba
Palm Sunday	dominika ya matawi
plebiscite	kura ya maoni
cleat	makiri
Irishman	Mwayalandi
spoken	nena
enemy	adui
squalid	maskini
perspiration	jasho
sarcastic	-kavu
engine	injini
leap	-tamba
put to sleep	-sinzisha
potsherd	kigae
federation	shirikisho
canteen	kantini
slit	-tana
legitimate	halali
Commonwealth of Dominica	Dominika
celery	figili
Olympic Games	Michezo ya Olimpiki
savings bank	mlimbiko benki
exclamation point	alama ya mshangao
underrate	-dunisha
python	chatu
Central African Republic	Jamhuri ya Afrika ya Kati
liquid	maji
dromedary	ngamia
keepsake	zawadi
spell	-endeleza
valuable	fani
seriousness	jadi
sometime	pengine
infancy	utoto
unintelligibly	kikombo
beefsteak	steki
rein	fio
fife	firimbi
titanium	titani
Lake Constance	Ziwa la Konstanz
Conakry	Conakry
long-lived	ndefu hai
Faroese	Kifaroe
yellow	manjano
key	ufunguo
loch	ziwa
basket	kikapu
ox	ngʼombe
perjury	zuri
repeat	-ongeza
alter	-geuza
soothing	kitulizo
brighten	-tia nuru
air conditioner	kiyoyozi
Italy	Italia
laxative	haluli
fruit tree	mkamasi
national anthem	wimbo wa taifa
Deuteronomy	Kumbukumbu la Sheria
plug in	chomeka plagi
database	hifadhidata
Republic of Burundi	Jamhuri ya Burundi
music	muziki
umber	dhahabu
handmaid	mtumishi
influential	-kubwa
pinch	-finya
half-breed	chotara
engrave	-chora
yank	-shtulia
fancywork	viboko
Vietnam	Vietnam
Marxism	umaksi
obscure	veli
Lutheranism	Ulutheri
abandonment	ukatavu
ingredient	kiambato
homily	hotuba
former	zamani
widow	mjane
smack	kidoko
reader	msomaji
nightingale	kurumbiza wa Ulaya
butte	mjao
omit	-saza
terbium	taribi
pie	pai
North Carolina	North Carolina
self-satisfied	binafsi kidhi
lotus	lotasi
autonomous	huru
steersman	mwalimu
Banjul	Banjul
skeet	habari
before	kabla
Niamey	Niamey
file	tupa
paste	ugali
purity	usafi
docile	-tii
suck	-amwa
profane	najisi
assay	juhudi
expedite	-ongoza
emanate	-anzia
metallic	risasi
treadle	mdoshi
isolate	-chuja
dormitory	bweni
serrated	kipembe
egocentric	mchoyo
mung bean	pojo
Buddhist	Mbudha
slash	tema
take	-chukua
bake	-oka
dethrone	-uzulu
salve	mafuta
stripling	mtoto
grip	-kaza
reserved	-nyamavu
whet	-noa
consolation	faraja
nausea	kichefuchefu
gelatinous	rojorojo
constant	-a daima
vigil	mkesha
mamma	nina
Moravia	Moravia
way	njia
guilt	hatia
argot	istilahi
incentive	kishawishi
incident	fursa
glean	-buga
handwriting	mwandiko
glitter	-ngʼaa
artist	msanii
passenger car	gari la abiria
bus station	kituo cha basi
Kinyarwanda	Kinyarwanda
depravity	upotoe
vessel	chombo
position	kikao
roost	kiota
out	nje
prize	tuzo
workmanship	uhodari
understanding	akili
calm	shwari
contusion	vilio la damu
declaration	azimio
accusation	mashtaka
rehearsal	mazoezi
verb	kielezi
bludgeon	gongo
donor	mpaji
sunflower	alizeti
tiger	chui mwenye milia
shoelace	kamba ya viatu
concentric	-enye senta moja
Kosovo	Kosovo
assassinate	kuua
doc	daktari
nakedness	utupu
bestow	-kidhi
convergence	kengeza
essence	dhati
jet	jeti
bloodthirsty	katili
cistern	birika
effervesce	-chemka
sable	weusi
movie	filamu
bun	butu
palpable	-kamatika
rushed	-kuhimizwa
dowry	mahari
Islamic Republic of Pakistan	Pakistani
Yangon	Yangon
science fiction	sayansi ya kubuniwa
enclose	-zonga
brush	burashi
pray	sali
wretched	maskini
elastic band	mpira
mouth	kinywa
Croatia	Korasia
fathom	pima
deformed	matemo
oversee	-simamia
kindhearted	mtaji
changeableness	ubadilifu
withdrawal	utengo
pomegranate	komamanga
funnel	mpare
gadolinium	gadolini
stirrup	kikuku cha kupandia farasi
emigrant	mhamaji
spreader	mtapakazaji
consistent	sare
ytterbium	yitebi
Silk Road	Barabara ya hariri
metamorphosis	metamofosi
Cornish	Kikorni
disarrange	-vuruga
crafty	-erevu
God	Mungu
youth	kijana
energy	kani
identity	umoja
millipede	jongoo
Sun	Jua
decisive	kataa
accordingly	alimradhi
displeasure	lawama
wheel	gurudumu
fragrance	ladha
loon	kitako
simulator	mzandiki
medium-sized	aina ya mjusi
pugilist	bondia
web site	tovuti
Polaris	Polaris
fly	inzi
misfortune	bahati mbaya
knoll	kilima
spume	kipanya
hernia	mshipa
south	kusini
old age	uzee
hang on	-nyongea
anemia	safura
defamation	ukashifu
midget	kibeti
fig	tini
repay	-lipa hasara
political	-a kisiasa
Aruba	Aruba
afraid	kuogopa
veto	veto
Tahitian	Kitahiti
give up	-gea
rise	-amka
Mediterranean Sea	Bahari ya Mediteranea
possessor	mwenyewe
vocative case	Kiromania
fury	hamaki
conjecture	-dhani
jostle	-kumba
convulsion	masuko
precipice	genge
cartwheel	pindu
lungi	Bangladeshi
title deed	hati ya kumiliki
tinfoil	jarabosi
bobbin	kibiringo
Sudanese	Msudani
Trinidad and Tobago	Trinidad na Tobago
Baghdad	Baghdad
thumbnail	kijipicha
Belarusian	Kibelorusia
goose	bata bukini
December	Desemba
occupation	shughuli
radius	nusukipenyo
breastbone	kidari
Kashmir	Kashmir
disturbance	ghasia
pretend	-jifanya
bargain	mwafaka
merit	-stahili
endeavour	juhudi
happy	furahifu
reverberate	-duta
honeymoon	fungate
planking	mbao
eyesight	taswira
safety pin	salama mwiba
ocean	bahari
child	mtoto
compound	mji
certainly	maalum
hard	gumu
kinship	udugu
heading	kichwa
rye	ngano
board	ubao
Mercury	Utaridi
unlucky	churo
postern	kitako
interviewer	mhoji
dwindle	dhii
cloudy	vundevunde
stepson	mwana wa kambo
pistachio	fistiki
Czech	Tjeckiska
master	bwana
babysitter	yaya
facade	ngao
apply	-paka
bathroom	choo
carnation	karafuu
sauce	mchuzi
tunnel	handaki
cord	uzi
dressing	gauni
dainty	teuzi
tape measure	kimo
interesting	masilahi
hairpin	kibanio
contentious	shindani
darken	-sawijika
Thailand	Tailandi
transformer	transfoma
drill	kwata
GDP	jumla ya pato la taifa
coffee bean	kahawa
apple	tofaa
visage	uso
motive	matilaba
destination	kifiko
ransom	fidia
contribute	-changa
cheaply	urahisi
sedge	mafunjo
nursing	mauguzi
viper	kifutu
inattentive	sahaulifu
toxin	sumu
dogwood	msese
shadowboxing	masumbwi ya kivuli ya wanaume
get rid of	-ondoa
indicate	-dokeza
Mauritania	Moritania
Finn	Mfini
gardening	bustani
rummy	ingine
poke	mdukuo
concert	tafrija
cot	susu
conundrum	fumbo
rigidity	uthubutu
vitality	usitawi
hash	reli
dope	bangi
undersize	ndururu
Guinean	Mgine
sarong	Sirilanka
obstetrics	ukunga
Eros	Erosi
Arab	Mwarabu
coast	pwani
swindler	laghai
baby	mtoto mchanga
ache	maumivu
encourage	-himiza
pin	pini
accessory	valio
investigation	pekesheni
prolong	-vuta
input	ingizo
put up	-simamisha
modification	ugeuzi
animated	hai
twinge	kichomi
New Zealander	Mnyuzilandi
out loud	kwa sauti
bondage	uja
malnutrition	utapiamlo
Maiduguri	Maiduguri
pedestrian	mtu anayetembea
abandon	-acha
humble	nyenyekevu
fade	-sinyaa
lad	mvulana
September	Septemba
fair	ramsa
correctly	vizuri
yeast	hamira
doctor	daktari
villager	mwanakijiji
clan	ukoo
validate	-sahihisha
ointment	marhamu
ruminate	-cheua
foreskin	zunga
dugong	nguva
Kingdom of Bhutan	Ufalme wa Bhutan
facilitate	-sahalisha
harassment	teso
Georgian	kijiojia
in detail	kinaganaga
glass	glasi
anchovy	dagaa
seesaw	pembea
pipe	kiko
baton	kirungu
same	sawa
lightning	umeme
transcription	fuatisha
ideal	kipeo
originally	awali
skylark	kipozamataza
hopeful	tumaini
caboose	kitako
hypochondriac	mwenye kinyongo
duality	uwili
pilgrimage	haji
Nairobi	Nairobi
selenium	seleni
strontium	stronti
Grozny	Urusi
Algiers	Algiers
antagonist	adui
Lithuania	Lituanya
dung	mavi
worst	baya
mistress	mbuya
counter	dirisha
shed	banda
why	kwa nini
kindle	washa
lay down	-laza
ambush	oteo
management	udhibiti
variation	ugeuzi
covet	-tamani
asterisk	kinyota
tower	mnara
verbiage	upayukaji
replacement	badala
tetanus	pepo punda
peculiar	zungu
Vienna	Vienna
openly	dhahiri
Jew	Myahudi
loaf	mkate
journey	safari
necromancy	uchawi
seepage	chururu
twig	kijiti
Sanskrit	Kisanskrit
prerogative	hiari
hammock	machela
sleeping bag	fumba
opener	kifungua
exaggerate	-tunisha
crab louse	chawa wa kwenye kinena
telephone booth	chombo cha simu
Caribbean Sea	Bahari ya Karibi
pedal	kanyagio
Panamanian	Mpanama
gladiolus	mzambarausime
parallelepiped	mche msambamba
horseradish	farasi figili
paper money	mwsada
cactus	cactus
bribe	rushwa
nine	tisa
drought	ukame
warm	moto
wrench	-shtua
truth	ukweli
shortage	ukosefu
pointed	-kali
memory	kumbukumbu
weaponry	silaha
particle	kitakataka
disastrous	korofi
graphite	makaa
kiln	joko
inadequate	adimu
communist	mkomunisti
nuclear	nuklia
hideous	-kirihifu
Volga	Volga
snowshoe	kiatu cha theluji
short circuit	fupi mzingo
Singapore dollar	Dola ya Singapore
arrest	-bamba
planet	sayari
succor	-nusuru
passage	pito
begin	-anza
balalaika	balalaika
revolver	bastola
deter	-zuia
accumulate	-kusanya
rise up	-fura
television	televisheni
ringworm	baka
pagoda	hekalu
paddle	kafi
dismantle	-pambua
Maryland	Maryland
Breton	kibreton
Welsh	kiwelsh
fort	boma
assistance	msaada
compassion	huruma
hill	kilima
occasion	mara
chamber	chumba
attestation	sahihi
Atlantic Ocean	Bahari ya Atlantiki
inspection	pekesheni
caveat	ilani
clarification	ueleano
NGO	shirika lisilo la kiserikali
logarithm	kipeozio
juxtapose	linga
Cyrillic	Kisiriliki
lament	-lalamika
junk	taka
pitiless	dhalimu
hospital	hospitali
temple	hekalu
female	jike
trophy	kombe
fuel	kaa
either	ama
rattle	kayamba
gearbox	giaboksi
greeting	salamu
detective	mpelelezi
tarpaulin	turubali
defective	kosefu
trinitrotoluene	baruti
toothless	kibogoyo
Kyrgyzstan	Kirigizistani
low blow	chini ya tumbo
party	chama
realize	-gundua
Republic of Iceland	Iceland
diversion	tafrija
custody	mlinzi
elsewhere	pengine
poker	kichocheo
suckle	-nyonyesha
fulcrum	egemeo
telamon	atlasi
battalion	kikundi
cardigan	fulana
undershirt	fulana
civil	-a kiraia
Estonia	Estonia
pollution	janaba
doomsday	kiyama
Burmese	Mbama
ginger	tangawizi
Sichuan	Sichuan
Tanganyika	Tanganyika
away	kando
interjection	kiingizi
figure	tarakimu
poultry	kuku
interchange	-geuza
palpitation	kiherehere
victory	ushindi
surveillance	ulinzi
deck	sitaha
prickly pear	mpungate
Bosnia	Bosnia na Hezegovina
United Arab Emirates	Falme za Kiarabu
explorer	mvumbuzi
exult	-simanga
Sarawak	Sarawak
grass snake	jani joka
loneliness	upweke
cornea	chamba
decision	uamuzi
glanders	mjinga
rod	cheo
stomach	tumbo
wasteland	wangwa
farce	kinyago
weir	kizingiti
attribute	sifa
prestige	fahari
swimming	uogeleaji
hurrah	heko
resort	pumzikio
face value	saari
psalm	zaburi
projection	mchomozo
observe	-shika
spotted hyena	kingugwa
bench	bao
maid	wafanyikazi
dairy	shajara
host	mwenyeji
Wednesday	Jumatano
frond	tawi
confer	-kidhi
expel	-fukuza
lawsuit	daawa
hoof	kwato
stumbling block	kikwazo
camphor	kafuri
casino	kasino
franc	faranga
wall clock	saa ya ukuta
toothpick	kijiti cha kuchokoa meno
symphony	simfoni
tree	mti
black rat	panya
lesson	somo
head of hair	nywele
lighter	kibiriti cha chuma
Kurd	Mkurdi
manhood	ukubwa
durable	mathubuti
traverse	-tindanga
separation	faraka
tram	tramu
giver	mpaji
nomadic	hamaji
copyright	hakimiliki
closer	karibu zaidi
half brother	kizio kaka
Mekong	Mekong
bellow	uga
exhaustion	ulegevu
faggot	basha
closet	kabati
cough	kikohozi
ticker	saa
invariably	sikuzote
turn out	-tukia
solidity	ushupavu
damsel	msichana
landmark	mnara
laundress	dobi
confetti	chengechenge
disc	diski
muddy	chepechepe
Newcastle	Australia
subtrahend	kitoleo
museum	makumbusho
Aral Sea	Aral
stench	shuzi
orchis	yai
spade	sepeto
pneumonia	kamata
United States	Marekani
cloudiness	utusitusi
flock	kundi
demanding	zito
significant	adhimu
queue up	-tundama
flux	tindikali
mammoth	kabambe
tumbler	bilauri
butt joint	liwato
admiral	admeli
handling	kugusa mpira kwa mkono
northwest	kaskazini magharibi
dishonest	batili
eyeball	mboni
bud	tumba
apprehend	fahamu
safe and sound	salamu
tighten	-kaza
peel off	-nyambua
sake	ajili
slipway	jahabu
dark horse	sayari
electronic	ektroniki
dik-dik	digidigi
drove	kausha
laurel	mbei
prairie	majanini
Yiddish	kiyidish
desolate	kame
depose	-uzulu
apprentice	mwanafunzi
catfish	ngogo
Turkey	Uturuki
wave	wimbi
citrus fruit	chungwa
appendix	nyongeza
gallant	hodari
player	mchezaji
tall	-refu
miscarry	-pooza
flight	mruko
mislead	-ongopa
keel	mkuku
dregs	kishinda
Canada	Kanada
excavator	mchimbaji
Panama	Panama
elope	-torosha
amethyst	rangi ya amethisto
present	zawadi
shortcut	mkato
hillock	kilima
cross	msalaba
legislate	kufa
king	mfalme
income	mapato
hundredth	sehemu ya mia
flavor	utamu
minister	waziri
denial	kano
hospitable	mkarimu
scuttlebutt	fitina
jackfruit	fenesi
escapee	mtoro
black market	magendo
car park	mbuga
ill-treat	gonjwa tibu
elude	-fumba
woodwind	filimbi
list	orodha
market	soko
father	baba
rank	cheo
utensil	chombo
calculus	hesabu
impetus	pinduli
Riga	Riga
plank	ubao
intensify	-kaza
ascertain	-hakikisha
annex	-nyangʼanya
expectation	kusudio
tillage	mlimo
clearing	weu
pleat	rinda
heating	kanzo
Uzbekistan	Uzibekistani
dressing gown	gauni gauni
cyan	cyan
hurl	-tupa
let down	-teremsha
transmit	-peleka
typhoon	tufani
hotel	hoteli
descent	mtelemko
pancreas	kongosho
dowel	chango
calico	kaniki
philology	elimu ya lugha
now	sasa
tip	ncha
create	umba
shoot	kupiga risasi
cemetery	makaburi
confectionery	tamu
dictate	-andikisha
embezzle	-badhiri
bloc	kambi
stare	-shangaa
scare	kitisho
gypsum	chokaa
forbidden	haramu
intervention	maingilio
five-hundredth	-a mia tano
duty	zamu
louse	chawa
leopard	chui
Republic of Korea	Jamhuri ya Korea
class	darasa
suffocate	kukosa hewa safi
oily	mafuta
candlepower	mshumaa
cancer	saratani
vandal	mharabu
as well	pia
cataclysm	tukio baya
climb	-panda
avalanche	poromoko
ration	posho
initially	awali
composer	msanifu
morality	uadilifu
scattering	tawanyiko
harrow	haro
multiplicand	chakuzidishwa
neon	neoni
menorah	menorah
purge	-hara
easy	rahisi
crisis	wasiwasi
vexation	mchokocho
pearl	lulu
insight	maarifa
compensation	ridhaa
relate	-husiana
proverb	methali
gait	mchachatochachato
differentiate	-aini
Greenwich Mean Time	Saa za Greenwich
specially	makusudi
wind up	-kunja
necessary	lazima
medicine man	mganga
maintenance	riziki
stucco	lipu
slat	wembe
undergrowth	gugu
motion	msogeo
ell	dhiraa
demolition	mvunjo
sobbing	kikwifukwifu
caries	susa
jealous	wivu
stockholder	mweyehisa
fall in love	kumpenda mtu
Micah	Mika
obstinacy	ukaidi
excess	mbobo
opponent	mpinzani
yam	kiazi kikuu
recognition	utambuzi
spring	kisima
frame	fremu
pit	shimo
shrub	miraa
avarice	choyo
subside	-tuama
rip	-tatua
stern	shetri
anodyne	tulizo
Christianity	Ukristo
peacock	tausi
whey	gururu
backstitch	shulu
polygyny	ukewenza
Brussels	Brussels
Elbe	Elbe
walrus	tembo-bahari
gazette	gazeti
flesh	nyama
Gulf of Mexico	Ghuba ya Meksiko
tallow	shahamu
Republic of Seychelles	Shelisheli
employer	mwajiri
increment	nyongeza
jerk	mkutuo
mask	barakoa
deficient	pungufu
Greece	Ugiriki
hiss	-chata
Quechua	Kiquechua
moneylender	mlariba
proton	protoni
lawlessness	uhuni
millimetre	milimita
forget-me-not	sahau mimi si
gander	mjinja
WHO	Shirika la Afya Duniani
ammunition	munición
girl	msichana
crocodile	mamba
take off	vua
tail	mkia
prophet	nabii
beef	nyama ya ngʼombe
association football	soka
weariness	unyogovu
cormorant	mnandi
threatening	-a kutisha
joviality	udamisi
apartheid	-a kibaguzi
feudalism	ukabaila
differ	-hitilafu
sideline	kando laini
adornment	pambo
landmass	ardhi
fairy	jini
transfer	uhamisho
twin	pacha
risk	hatari
pansy	wazo
national	-a kienyeji
inundate	-gharikisha
hanging	nyonga
Grim Reaper	shetani
mulberry	forsadi
nuptials	harusi
cornerstone	jiwe la msingi
Kuwaiti	Mkuwaiti
thorium	thori
mosaic	mozaiki
CIS	Jumuiya ya Nchi Huru
roar	-vuma
scrape	-paa
applicant	mtaka
star	nyota
gestation	mimba
