adjudicate	mengadili
power station	pembangkit tenaga listrik
warrant officer	resistor
intransigence	ketegaran
physiotherapy	fisioterapi
pretzel	kue kering yang asin
inning	pusingan
sensorial	deria
white flag	bendera putih
Cultural Revolution	Revolusi Kebudayaan
Winnipeg	Winnipeg
Helen	Helena
Holy See	Tahta Suci
sandbank	beting
endometriosis	endometriosis
Crater	Crater
liquor	minuman keras
advocacy	bantu
provide	menyokong
hurry	cepat
underwear	celana dalam
millionth	juta
grove	kayu
norm	kaidah
glutton	loba
intrigue	menarik
splice	menikahi
Republic of Mozambique	Mozambik
tribulation	musibah
Port-au-Prince	Port-au-Prince
Atlantic	Lautan Atlantik
schooling	pendidikan
feat	prestasi
glassful	gelas
jab	goda
avenger	pembalas dendam
kilometre	kilometer
gourmet	penggemar makan dan minum
old maid	sejenis bunga kebun
extradition	ekstradisi
sauna	ruang sauna
prelate	wali gereja
unofficial	tidak boleh diumumkan
maul	membelasah
indirect	mengereng
monoploid	haploid
cromlech	dolmen
Habakkuk	Habakuk
Tegucigalpa	Tegucigalpa
Denver	Denver
Galileo	Galileo
guppy	gupi
burrito	burrito
South America	Amerika Selatan
stuff	barang
discourse	wacana
calibre	ilmu
corridor	gang
trade	perdagangan
Colombia	Kolombia
trash	sampah
tolerate	memaklumi
obliterate	basmi
Gallic	Perancis
evaporation	uap
bubbly	periang
compendium	ringkasan
broken-down	usang
monolingual	ekabahasa
palladium	paladium
speckled	berbintik
maximize	memaksimalkan
spinster	perawan tua
cordage	pengikatan
interferometer	meter interferensi
ziggurat	ziggurat
bumper	Bemper
green gram	kacang hijau
Nouakchott	Nouakchott
Nevada	Battle Born State
Isis	Isis
Jones	Daniel Jones
archdiocese	keuskupan agung
purpose	maksud
fruit	buah
newscast	warta
announce	mengumumkan
prong	gigi
pickaxe	kapak pembelah salju
vitrine	kotak
uvula	anak tekak
absolute	mutlak
incorporate	memasukkan
advice	nasehat
ostensibly	sepintas lalu
break in	mendidik
water tap	keran
illustrate	menerangkan
hoe	cangkul
meter	meter
eggnog	krim
vainly	sia-sia
cayenne pepper	sejenis merica hijau
fatherland	tanah tumpah darah
urbanization	pembangunan perumahan
Carina	Carina
Gnosticism	gnostisisme
CIA	Badan Intelijen Pusat
corundum	korundum
guanine	guanina
window frame	kusén
batch	banyak
track	bekas
specimen	contoh
stupid	bodoh
ideology	ideologi
gaga	pikun
maniac	gila
court	pengadilan
wire	kawat
nutrition	makanan
slack	celah
enigma	orang atau soal sulit
plague	wabah
oracle	ramalan
i	alias
unhappy	sedih
Anatolia	Anatolia
pastiche	urut-urutan
farcical	menggelikan
vernal	muda
inaugural	pelantikan
antielectron	positron
fisher	nelayan
corncob	tongkol
Nazi	fasis
gnaw	menggerogoti
revelation	wahyu
shrunken	ciut
hydrargyrum	raksa
flutist	pemain flute
sunbeam	sinar matahari
zeppelin	zepelin/ balon udara
determinant	penentu
cartoonist	ahli karikatur
parquet	parket
psi	psi
hydrotherapy	hidroterapi
saltiness	asin
dampness	kelembaban
groin	kunci paha
moron	sontoloyo
wait	menunggu
patent	paten
giddy	goyang
implode	meletup
hypothesise	mengadakan hipotesa
minaret	menara masjid
wedge	selip
opium	apiun
restoration	kembali
stipulate	menyatakan
comparable	dapat diperbandingkan
pestiferous	menjengkelkan
thigh	paha
fortify	memperkuat
byword	pepatah
sadistic	sadis
upholsterer	tukang salut
Caesar	bedah caesar
wearing	meletihkan
Chihuahua	Chihuahua
agon	agon
guy rope	gai
Joshua	Yosua
Zephaniah	Zefanya
Leeds	Leeds
Chaldean	Kasdim
presbyopia	presbiopi
rush hour	jam sibuk
twentieth	keduapuluh
stearic acid	asam oktadekanoat
stool	bantal
US	A.S.
table	meja
tend	tujukan
commercial	iklan
Jan	Jan
Quaker	jemaat sekte cinta damai
autonomy	kebebasan
forfeit	menghilang lenyap
delegate	kirim
summon	panggil
hearing	sidang
faultless	suci
synonymous	bersinonim
tidal wave	gelomgang air pasang
grammar school	sekolah menengah atas
hazardous	untung-untungan
marionette	wayang golek
fermentation	peragian
deviltry	nakal
intentional	sengaja
sentimental	gundah
teat	puting
landowner	tuan tanah
oligarchy	oligarhija
gratification	kepuasan
versatility	fleksibilitas
rationalization	rasionalisasi
montage	penyuntingan
masterpiece	mahakarya
Basra	Basia
enzyme	enzim
thyroxine	tiroksin
secure	aman
potential	mungkin
season	musim
slough	gugur
web	dyariŋ
above	atas
reject	menolak
safeguard	ayom
smoothen	menyinari
shoe polish	semir sepatu
prawn	udang
supercilious	angkuh
visitor	tamu
vector	vektor
oppressor	raja lalim
camping	kemah
dismissal	pecat
sparge	percik
mechanical	mekanis
deliciously	harga obral
narrator	pencerita
tactician	ahli strategi
Muhammad	Muhammad
centripetal force	gaya sentripetal
passenger pigeon	merpati penumpang
trampoline	trampolin
Maoism	maoisme
deism	deisme
pothole	lubang di jalan
climber	pemanjat
accusative	objektif
Indian rhinoceros	Badak India
bazooka	bazoka
cane sugar	gula tebu
Luoyang	Loyang
Madras	Chennai
Vela	Vela
chopping board	talenan
timely	akurat
gas	gas
set off	berangkat
etymology	etimologi
hibernate	hibernasi
big toe	ibu jari
ideological	ideologis
verdict	hukuman
advantage	keuntungan
supple	lemas
summer	musim panas
serpent	ular
stadium	stadion
nuisance	gangguan
repugnant	jijik
boar	babi hutan
invention	penemuan
foreplay	perangsang
hajj	haji
quatrain	pantun
meantime	syahdan
governess	guru privat
periwinkle	sifut laut kecil
turbine	turbin
ganglion	pusat saraf
podiatry	mengobati kelainan kaki
amateurism	keamatiran
cavalcade	perarakan orang berkuda
osteoblast	osteoblas
dysfunction	disfungsi
dirty word	pisuh
hazard	bahaya
family	keluarga
mushroom	jamur
hasten	cepat
ides	juli
lover	kekasih
civic	sopan
Red Sea	Laut Merah
civilise	membina
tiresome	membosankan
motor	motor
traffic	lalu lintas
concise	ringkas
seedy	berantakan
austral	selatan
tuber	ubi kembili
truffle	cendawan
shock	kaget
buffalo	kerbau
princely	makmur
unbecoming	tawar
railroad	rel kereta api
bullet	peluru
saw-toothed	serat
reaper	pembabat
abductor	penculik
schism	skisma
tape recorder	tep
lemonade	limun
neurotic	neurotik
carbon monoxide	karbon monoksida
alphabet	abjad
salty	asin
return	kembali
slue	berputar
white	putih
punk	sumbu
arctic	dingin
Friday	Jumat
faction	kelompok
steep	curam
impound	menyita
sap	getah
chicane	penipuan
wrapper	selimut
Yemen	Yaman
hooker	cabo
combination	kombinasi
crossbreed	campuran
supposititious	dugaan
reservoir	bak
small-minded	sempit
flipper	sirip
drowsiness	kantuk
follicle	kantung
cretaceous	seperti kapur
latency	waktu untuk bereaksi
calligraphy	kaligrafi
Old Testament	Perjanjian Lama
zucchini	suksini
Chittagong	Chittagong
Barents Sea	Laut Barents
African-American	Afrika-Amerika
Lancelot	Lancelot
Golden Fleece	Bulu Domba Emas
polypropylene	polipropilena
king cobra	ular anang
tight	padat
hollow	berlubang
consternation	kengerian
exfoliation	kuping
Malaysia	Malaysia
halt	berhenti
dissolve	bubar
disturb	mengganggu
sickness	penyakit
pileus	payung
game	permainan
fuckhead	tolol
ice cream	es krim
nest	sarang
geisha	tari
ministry	kementerian
windscreen	kaca depan mobil
inventory	inventaris
sleepiness	kantuk
restart	pulih
iridium	iridium
psychologist	psikolog
oneiric	seperti mimpi
sanguinary	banyak pertumpahan darah
gaff	besi panjat
Manchester	मैन्चेस्टर
cultivator	penanam
stubbornly	tanpa putus asa
commiserate	bersimpati
corduroy	korduroi
Samson	Simson
laser printer	pencetak laser
Bulgarian	Bulgaria
century	abad
jackass	brengsek
venom	Bahasa Islandia
lock	kunci
vent	jalan
inhumanity	kejahatan
Liberia	Liberia
cross out	mencoret
adjust	atur
best	lebih
honour	hargai
forum	forum
porthole	jendela
adulation	pujaan
pillar	tiang
inure	membiasakan
insulate	memencilkan
ninetieth	kesembilanpuluh
bridegroom	tunangan
accountable	bertanggung jawab
constipation	sembelit
hypnotic	hipnotis
sodium carbonate	abu soda
lepton	lepton
superscript	huruf yang ditulis di atas
long-windedness	kepanjang-lebaran
revolutionize	mengubah dengan cepat
Golgi apparatus	aparatus Golgi
semiology	semiotika
Split	Split
Grand Canyon	Grand Canyon
Minerva	Minerva
night blindness	rabun senja
mucosa	mukosa
basement	bawah tanah
surface	permukaan
inhabit	mendiami
spend	membelanjakan
Republic of Bulgaria	Bulgaria
settle	atur
pinhead	dungu
clipping	gunting
clue	kunci
look on	lihat
besiege	mengelilingi
bate	mengurangi
pink	merah jambu
warlike	perang
wombat	wombat
courtesy	adab
uselessly	cuma-cuma
Niger	Niger
retinue	rombongan pengiring
Bihari	Bihari
Hawaiian	Hawaii
overawe	menakut-nakuti
boiler	ketel
nervousness	kebingungan
ingestion	konsumsi
nipple	bintik
shitty	dahsyat
date palm	kurma
politician	politikus
literary	berkaitan kesusasteraan
all-powerful	mahakuasa
wedding dress	baju pengantin
cocktail	koktail
capelin	capelin
agglutination	pelekatan
Iroquois	Rumpun Bahasa Iroquis
Khoisan	Rumpun Bahasa Khoisa
Lake Erie	Danau Erie
hauler	sopir truk
emerge	muncul
running	hidup
cardinal	besar
brusque	hantam kromo
avocation	kegemaran
comical	lucu
body louse	kutu
bryophyte	lumut
moot	debat
do away with	membatalkan
actualize	membuat
conflate	mengocok
procrastination	penundaan
manifestation	pengejawantahan
flattery	bujukan
panegyric	pidato pujian
semblance	seperti
circumstance	suasana
calendar	kalender
shot	gigitan
shipping	ekspedisi
funding	bantuan
Cape Town	Cape Town
similarly	dengan persetujuan
catapult	katepel
reanimate	menghidupkan
logo	logo
stinginess	kerakusan
chewing gum	permen karet
lapidation	rajam
goofy	penuh semangat
shinbone	tulang kering
exegetic	bersifat menjelaskan
proselyte	pengikut baru
conditioning	kerapian
braincase	kranium
New Siberian Islands	Kepulauan Siberia Baru
alkaloid	alkaloid
lochia	nifas
galaxy	galaksi
buttock	pantat
stimulus	ajakan
deep	dalam
briefcase	tas kantor
promise	janji
snap	putus
card	kartu
purloin	mencuri
carmine	kirmizi
granny	nenek
initiation	upacara inisiasi
incorrect	salah
collision	tubrukan
Syria	Suriah
divergent	abnormal
twist	muslihat
pulley	katrol
churn	bergolak
seashell	kerang
debase	mengubah
troop	tentara
behoove	harus
publishing house	penerbit
podium	mimbar
crotch	kerampang
tibia	tulang kering
food chain	rantai makanan
conifer	pohon jarum
ostracism	pengasingan dari pergaulan
coffeehouse	kedai teh
glass eye	bola mata dari kaca
transparency	kejernihan
limnology	limnologi
cutler	tukang membuat pisau
effacement	pemadaman
businesswoman	peniaga
noble gas	gas mulia
Hadean time	Hadean
arachnid	araknoid
hold	memegang
rent	menyewa
warning	padah
watchdog	anjing
applaud	banting
sum	jumlah
express	ucap
leech	lintah
go on	sambung
injure	melukai
thick	tebal
glory	megah
more or less	kurang lebih
fright	kengerian
fin	sirip
pile up	menyusun
muzzle	membungkam
assuage	bantai
South West Africa	Namibia
high tide	air pasang
fragmentary	tukang berantem
grass	rumput
Sahara	Sahara
atheist	ateis
appetizing	enak
Norfolk Island	Kepulauan Norfolk
half sister	saudara perempuan tiri
handcraft	kemahiran
publisher	penerbit
filter	saringan
rocket	roket
irrigation	irigasi
bromine	brom
pyxis	piala suci
radiograph	gambar hasil sinar x
eclogue	syair/prosa tentang keindahanalam
Assur	Ashur
Tupi	Tupi
Priam	Priamos
car bomb	bom mobil
argument	kelahi
babe	bayi
roof	atap
whip	cambuk
object	lawan
payload	barang
afresh	lagi
miscarriage	kematian-bayi
person	orang
infer	membuat
obey	taat
publish	menerbitkan
crosswise	lintang
poultice	tapal
Mon	Sen
Republic of Slovenia	Slovenia
sinless	suci
nunnery	biara
contemporary	semasa
railroad station	stasiun
whoreson	bajingan
potentate	raja lalim
misuse	memaki
termite	anai-anai
comfort station	tandas
lank	melayukan
pan	panci
interlace	memintal
scuff	menghela
allegorical	bersifat kiasan
trapezium	trapesium
cheekbone	tulang pipi
mulatto	mulat
spinning	pemintalan
circuit board	kad
Wuhan	Wuhan
Blackpool	Blackpool
Indra	Indera
coronary	koroner
safflower	kesumba
Lombard	Lombard
Macedonian	Makedonia
presence	hadirat
paternal	ayah
abet	bantu
gratitude	terima kasih
bier	usungan
ovine	biri-biri
Guadeloupe	Guadeloupe
cavalier	hantam kromo
droop	jatuh
flexibility	kemampuan beradaptasi
construe	bahas
holler	menamai
gastritis	mual
argent	perak
deplore	sedih
state of affairs	situasi
vowel	vokal
registration	pendaftaran
modesty	sopan
methodical	sistematis
robe	gaun
embarkation	keberangkatan
neologism	neologisme
storekeeper	tauke
streamlet	anak sungai
ballistics	balistik
viral	disebabkan kuman virus
random variable	variabel
knowingly	dengan sadar
Perm	Molotov
troposphere	troposfer
southern lights	aurora australis
foldout	membuka yang terlipat
parallelogram	jajar genjang
doubtful	bimbang
berm	bahu
leave	berangkat
short	pendek
scathe	kecelakaan
pull	tarik
ballot	memilih
grab	menangkap
palliate	mengurangi
document	surat
upper	atas
velvet	beludru
user	pengguna
abash	memalukan
genetics	genetika
curvaceous	sehat dan riang
monarchic	monarki
cloudburst	hujan deras
sepal	kelopak
bell tower	menara lonceng
replay	ulangan
hairless	plontos
class warfare	perjuangan kelas
Wu	Wu
stenosis	penyempitan
Fallopian tube	Saluran telur
tribe	suku
confront	bertemu
cloistral	biarawan
bland	hambar
raindrop	tetes hujan
maternity	kehamilan
pare	kerat
baron	baron
designation	predikat
chairwoman	ketua
sterile	mandul
lopsided	timpang
hybridize	mengarungi
neutralise	menghapuskan
crumbly	rapuh
windshield wiper	penghapus kaca
jeer	mengejek
beatitude	kebahagiaan
spyglass	keker
glove	sarung tangan
derision	ejek
zirconium	zirkonium
in love	penuh kasih
disinterested	bersikap masa bodoh
gynaecologist	dokter ahli kandungan
property tax	pajak bumi dan bangunan
jay	orang yang suka cerewet
gunwale	bibir perahu
sportswear	pakaian olahraga
acedia	kemalasan
paradox	paradoks
horsewhip	mencambuki
defuse	meredakan
Agra	Agra
Adonis	Adonis
amazon	Amazon
Gandhi	Gandhi
grinding	aberasi
Trinity Sunday	Minggu Trinitas
plentiful	berlebih-lebihan
quondam	bekas
campaign	ekspedisi
steel	baja
alkali	alkali
hike	iklan
unintelligible	misterius
unrefined	kasar
discernment	diskriminasi
ahead	depan
radiolocation	radar
obfuscation	kebingungan
electoral	pemilihan
loft	loteng
market economy	perusahaan swasta
barber	barbir
rocky	seperti granit
agonizing	hal mengerikan
childish	bersifat kekanakan
abduction	penculikan
cobblestone	batu jalan
backstroke	urut-urutan
paramour	pelacur kelas tinggi
chive	lokio
Saba	Saba
Queens	Queens
Great Barrier Reef	Karang Penghalang Besar
alkyl	alkil
cyanide	sianida
Bolivian	Bolivia
conk	meninggal
affect	mempengaruhi
knowledge	pengetahuan
look out	memperhatikan
coastal	pantai
rulership	pemerintah
moratorium	penangguhan
concourse	pertemuan
errand	tugas
ticket	karcis
xylophone	xilofon
demography	kependudukan
daub	kotoran
rupee	rupee
garnish	perhiasan
proletariat	proletariat
examination	periksa
baptize	baptis
sobriety	serius
gizzard	ampela
egg-shaped	berbentuk telur
two-faced	curang
subsonic	di bawah kecepatan suara
sanctimonious	berpura pura suci
contentment	kepuasan hati
moose	rusa besar
antihistamine	obat anti alergi
flagpole	tiang bendera
femur	tulang paha
Thoth	Thoth
ghoul	Ghoul
witch doctor	bomoh
Putin	Putin
mitochondrion	mitokondria
Lithuanian	bahasa Lithuania
issue	masalah
Athens	Athena
originate	membikin
not	tidak
diary	buku harian
tie	ikat
iceberg	gunung es
thumb	ibu jari
entrust	serahkan
indecent	tidak tahu malu
nauseated	mabuk
roam	tawuran
barricade	barikade
presuppose	mengira
utterance	pembicaraan
injunction	perintah
boarding house	asrama
cavern	gua
appertain	mendengar
shooting star	bintang jatuh
lair	tempat persembunyian
tabernacle	tabernakel
decimal point	titik
granitic	tajam
shoplifter	pendorong
conscription	wamil
coconut milk	santan
uranium	uranium
kitsch	suka pamer
locksmith	tukang logam
marsupial	marsupial
buttonhole	lubang kancing
periodicity	keteraturan
Tabasco	tabasco
Durban	Durban
Des Moines	Des Moines
Doppler effect	Efek Doppler
Spanish	Spanyol
considerably	secara nyata
fund	modal
find out	cium
weigh	menimbang
daydream	mimpi
bide	diam
Gabon	Gabon
add	tambah
mail	pos
spectrum	spektrum-tampak
bereavement	mati
throng	berkerumun
fascinating	penyerap
midpoint	tengah
Venezuela	Venezuela
patrician	aristokrat
fetus	janin
objection	keberatan
handout	siaran
black art	black magic
latissimus dorsi	lat
pavement	trotoar
unforgettable	tak terlupakan
paradoxical	asa yang berlawanan
stunt	akrobatik
appropriateness	kewajaran
inefficiency	pemborosan/ketidakcakapan
family planning	keluarga berencana
civil war	perang saudara
castor oil	kastroli
sectarianism	sektarianisme
Gorky	Gorki
Ford	Ford
garner	akumulasi
Inuit	Alaska
sir	tuan
factor	faktor
medal	medali
sister-in-law	ipar
blur	memburamkan
capital offense	kejahatan
railroad car	wagon
note	karcis
pewter	timah
xenon	xenon
secondary	sekunder
cognition	pikiran
john	kamar mandi
timorous	takut-takut
homicide	pembunuhan
jubilee	yubileum
calabash	jenis labu
jaundiced	iri
scalable	homogen
unpaid	tak dibayar
breathing	berhubung pernapasan
superconductivity	superkonduktivitas
wind power	tenaga angin
flange	flens,pinggiran roda
sanatorium	balai petirahan
pederasty	perjantanan
systematics	sistematik
Wisconsin	Badger State
Ceres	Ceres
Cicero	Cicero
day off	hari libur
tomorrow	besok
wrist	pergelangan tangan
woodpecker	burung pelatuk
ecologic	ekologi
exhaust	kuras
Saturday	Sabtu
praxis	kebiasaan
Costa Rica	Kosta Rika
homeland	tanah air
five	lima
windy	berangin
obstruct	potong
parasite	parasit
spendthrift	boros
mace	gada
deontic logic	ijin
perturb	mengganggu
batter	adonan
gambit	permulaan
thirdly	pertiga
Tagus	Tagus
besmirch	memfitnah
fruitfulness	kesuksesan
ironic	ironis
grindstone	gerinda
red pepper	paprika
purposely	sengaja
supernatural	tersembunyi
continuation	kelanjutan
lei	karangan bunga
fishing boat	kapal nelayan
disenchantment	kekecewaan
immunize	menyuntik
Greenpeace	Greenpeace
Charon	Charon
poliomyelitis	polio
alibi	alasan
swot	bangun
lick	jilat
chic	cantik
crisp	keriting
blaspheme	hina
candid	tulus
peg	pasak
nab	menangkap
rhyme	syair
speculation	spekulasi
impetuous	tanpa pikir panjang
wooing	asmara
eightieth	delapan puluh
selection	pilihan
Mars	Mars
Trojan horse	kuda Troyan
syntax	sintaksis
draughts	dam
craven	penakut
recognizable	dapat dikenal
nubile	sudah boleh nikah
aircraft carrier	kapal induk pesawat terbang
cyclorama	diorama
absinthe	sejenis minuman
regressive	regresif
household appliance	perangkat
Knossos	Cnossos
Yama	Yama
pi	pi
Leninism	leninisme
absolutism	absolutisme
source	sumber
Nice	Nice
leak	berlubang
knout	cambuk
concur	dukung
joke	lelucon
clearance	celah
juncture	kesempatan
graveyard	kuburan
exuberance	limpah-ruah
premier	premier
constriction	kemacetan
disloyalty	penghianatan
gamey	agak cabul
wheat	gandum
planner	penemu
Catholicism	Katolik
bacteriological	mengenai ilmu bakteri
