explanation	yorum
resourceful	açıkgöz
family name	soyadı
Reticulum	Ağcık
stall	durdurmak
drop	düşmek
consignee	alan
dependence	bağımlılık
rustic	basit
espousal	benimseme
hickory	bu ağacın tahtası
laundry	çamaşır
graphic	grafik
perforce	çaresiz
intercourse	ilişki
geographer	coğrafyacı
repulse	defetme
laptop	dizüstü bilgisayar
astronautics	astronotik
doghouse	gözden düşmüş
bankruptcy	iflas
minim	ing
coniferous	kozalaklı
gambler	kumarbaz
Lisbon	Lizbon
popinjay	papağan
diocese	piskoposluk
Puerto Rico	Porto Riko
pickled	sarhoş
statics	dinginlik bilimi
extension cord	uzatma kablosu
Turkish coffee	Türk kahvesi
colza	kanola
llama	lama
soft copy	elektronik kopya
deadly sin	ölümcül günah
statistical mechanics	sayıtım düzeneği
flower	çiçek
wax	balmumu
poison	zehir
amphibian	amfibi
span	an
Principality of Andorra	Andorra Prensliği
stipulation	anlaşma
dormant	cansız
filler	astar
frog	kurbağa
birdie	genel
Barbados	Barbados
prosperity	refah
helm	dümen
Western Sahara	Batı Sahra
analogous	analojik
nosebleed	burun kanaması
permissible	caiz
hijack	çalmak kaçırmak
esprit	can
shortly	kısaca
gallery	galeri
honesty	dürüstlük
birthday	doğum günü
burp	geğirmek
sunshine	Güneş Işını
pipit	incirkuşu
Aries	Koç
mausoleum	mezar
long-winded	rüzgarlı
urbanize	şehirleştirmek
Singapore	Singapur
Fang	Fang
milk tooth	süt dişi
IAEA	UAEA
time series	zaman dizisi
ace of spades	maça ası
fishhook	tatlandırıcılar
plate tectonics	levha tektoniği
rue	sedef otu
scarlet	kırmızı
box	kutu
emphysema	anfizem
mystery	gizem
antiquarian	antika meraklısı
foster	beslemek
ardor	gayret
dexterous	eli çabuk
purposeful	ehemmiyetli
begum	begüm
blacklist	kara liste
toady	dalkavuk
dysprosium	disprosyum
congenital	konjenital
spout	emzik
invoice	fatura
unzip	fermuarı açmak
heraldry	heraldik
cockpit	kokpit
insecticide	haşarat ilâcı
percentage	kısım
joyous	sevinçli
clock	saat
Lesotho	Lesotho
callus	nasır
quantitative	nicel
immortality	ölümsüzlük
nit	sirke
canonize	yüceltmek
Dalmatia	Dalmaçya
European Central Bank	Avrupa Merkez Bankası
coal mine	kömür ocağı
Anaheim	Anaheim
gravitational	kütleçekimsel
bilirubin	bilirübin
drunkenness	sarhoş hali
brow	kaşlar
habit	alışkanlık
astronomer	astronom
crossover	atlama
comfort	teselli
reprimand	azarlamak
damnation	belâ
rubric	bölüm
yarn	iplik
clitoris	klitoris
chocolate bar	çikolata
maneuver	dolap
revision	düzeltme
runaway	kaçak
Bombay	Mumbai
restriction	tahdit
impure	kirli
chiffon	şifon
cardiac muscle	kalp kası
darkness	karanlık
pandemonium	kargaşa
greet	selamlama
castor	kunduz
accountant	muhasebeci
Transcaucasia	Güney Kafkasya
time limit	randevu
sago	sagu
versify	şiir haline koymak
mercantile	ticari
DC	DC
Inquisition	engizisyon
elementary particle	temel parçacık
headwind	pruva rüzgârı
vapor pressure	buhar basıncı
Republic of Singapore	Singapur Cumhuriyeti
carrion crow	leş kargası
rose	gül
denomination	ad
mandrake	adam otu
insane asylum	akıl hastanesi
derisive	akılsız
gloaming	akşam karanlığı
bulk	hacim
asphalt	asfalt
patriarch	patrik
spiritual	ruhsal
contagious	bulaşıcı
task	görev
impossible	olanaksız
organization	organizasyon
peregrine falcon	doğan
long-term	etraflıca
zealous	gayretli
traitor	hain
episode	epizot
exoskeleton	dış iskelet
turtle	kaplumbağa
carbonaceous	karbonlu
cortisone	kortizon
xanthine	ksantin
buy off	rüşvet vermek
pesto	sarımsak
octagonal	sekizgen
prepuce	sünnet derisi
satisfactorily	yeterli olarak
Manama	Manama
smew	Sütlabi
Rebekah	Rebecca
eukaryote	ökaryot
alleged	görünürdeki
ugly duckling	çirkin ördek yavrusu
self-consciousness	içgözlem
table salt	yemek tuzu
re	geri
wily	açıkgöz
nominalism	adcılık
renounce	reddetmek
swindle	dolandırmak
Lord	Lord
orchard	bostan
independence	istiklal
call out	bağırmak
barbel	karakeçi
stead	yer
town	şehir
lever	kaldıraç
inevitable	kaçınılmaz
polypody	bespaye
desperate	dehşetli
litter	sedye
emission	emisyon
bottomless	altsız
dogmatic	dogmatik
pithy	etkileyici
acetabulum	hokka çukuru
Abraham	İbrahim
disavow	reddetmek
favus	kel hastalığı
fibroma	lifli tümör
goy	Musevi olmayan kimse
assailant	saldırgan
lapidate	taşa tutmak
Siam	Siyam
diagnose	teşhisçi
unhurt	zarar görmemiş
availability	kullanılabilirlik
nutritionist	diyetisyen
shelf life	raf ömrü
tomography	tomografi
complain	yakınmak
decency	terbiye
accomplishment	iş
supper	akşam yemeği
coulomb	coulomb
fob	atlatmak
prudish	iffet taslayan
Baltic Sea	Baltık Denizi
baritone	bariton
cope	başarmak
hay	saman
cloud	bulut
petunia	petunya
entwine	bükmek
credential	delil
birthplace	doğum yeri
dwell	oturmak
handsaw	testere
bedrock	ana kayaç
expense	harcama
southeast	güneydoğu
deity	tanrı
Stonehenge	Stonehenge
shiksa	kız
conjunctivitis	konjonktiv iltihabı
Latvia	Letonya
parameter	parametre
crude oil	petrol
countersignature	onay imzası
duckling	badi
paper towel	kağıt havlu
biogeography	biyocoğrafya
Hellenic	Yunan
Turkmen	Türkmence
affix	ek
cave	mağara
sad	üzgün
scholar	bilgin
elapse	zaman
reverse	ters arka aksilik
golden eagle	kaya kartalı
loss	kayıp
jilt	âşığını aldatmak
encroach	aşma
town hall	belediye binası
divider	pergel
function	fonksiyon
Gibraltar	Cebelitarık
maggot	kurtçuk
violet	menekşe
restlessness	huzursuzluk
outbound	giden
puissant	güçlü
noisy	gürültülü
velleity	hafif arzu
humanistic	insancıl
isotope	izotop
predestination	kader
commissioner	vekil
chant	şarkı söylemek
rutherfordium	rutherfordyum
hair dryer	saç kurutma makinesi
blazer	spor ceket
tantalum	tantal
boxing	boks
convection	konveksiyon
grave accent	peslik vurgusu
Ugaritic	Ugarit Dili
neurological	nörolojik
Ural Mountains	Ural Dağları
one-way	tekyollu
pop music	pop müziği
precision	kesinlik
famine	açlık
dizzy	baş dönmesi
bother	rahatsız etmek
black	siyah
entrance	giriş
test	test
lining	astar
legato	legato
financier	maliyeci
elementary	basit
exordium	önsöz
flour	un
grassland	çayır
competition	müsabaka
controversial	ihtilaflı
snip	ekran alıntısı
redo	yinelemek
mallow	ebegümeci
ellipsoid	elipsoidal
cooperation	işbirliği
martyr	şehit
bistro	taverna
propagation	genleşme
limbo	hapishane
saffron	safran
falchion	kılıç
deportation	sınırdışı
lanthanum	lantan
census	nüfus sayımı
travelling salesman	satış elemanı
resell	satmak
wartime	savaş sırasında olan
irreplaceable	yenisi tedarik edilemez
Noah	Nuh
workspace	çalışma alanı
elderberry	mürver
holography	holografi
neurologist	nörolog
abalone	denizkulağı
gravitation	çekim
blandish	albeni
investment	yatırım
administer	yönetmek
haze	sis
versed	bilgili
adjoin	bitiştirmek
octavo	bu büyüklükte kitap
voyeur	röntgenci
cake	kek
unbutton	çözmek
bagatelle	değersiz şey
prohibit	yasak etmek
vane	ufalmak
imaginary	sanal
aegis	kalkan
steelyard	kantar
brown sugar	karamela
surrogate	vekil
joint venture	ortaklık
Russian Federation	Rusya Federasyonu
warty	siğilli
suffix	sonek
river horse	su aygırı
pimento	yenibahar
silage	yeşillik
Haitian	Haitili
League of Nations	Milletler Cemiyeti
Sumer	Sümer
Callisto	Callisto
paleontologist	paleontolog
reversible	tersinir
optimize	en iyi şekilde kullanma
Palaic	Palleci
gesture	jest
favorable	iyi
confuse	karıştırmak
flat	düz
remove	çıkarmak
jog	sarsmak yavaş gezinti
pasty	ağdalı
coherent	ahenkli
dissonance	ahenksizlik
becoming	oluşma
locker	ambar
putsch	darbe
vacuity	içeriksizlik
past	geçmiş
lieutenant	teğmen
differential	diferansiyel
corrigendum	baskı hatası
equalization	bedel
confection	şekerleme
Chad	Çad
kaleidoscope	kaleydoskop
doughnut	donut
snicker	kişneme
catamite	oğlan
airstrip	iniş pisti
clone	kopya
sprint	koşmak
cotyledon	kotiledon
neuritis	sinir iltihabı
escritoire	yazıhane
Weimar	Weimar
Cygnus	Kuğu
cannon fodder	kurbanlık
aimlessly	amaçsızca
Ali	Ali
evolve	açmak
reforestation	ağaçlandırma
dulcet	ahenkli
thorn	diken
ridiculous	gülünç
familiarity	alışkanlık
talent	yetenek
sodden	anlamsız
bound	sıçrayış
Common Market	Avrupa Birliği
follower	köpek
honey	bal
calf	dana
teeter-totter	baskül
periphery	çevre
proboscis	hortum
erase	silmek
embassy	sefarethane
wriggle	çalkanma
zing	cızırdama
experimental	deneme
carnivore	etobur
contradistinction	fark
syphilis	frengi
Greenland	Grönland
aeration	havalandırma
confounded	şaşırmış
disgruntled	hoşnutsuz
psychrometer	nem ölçeği
eat away	otlamak
Pakistani	Pakistanlı
psychometrics	psikometri
banquet	ziyafet
hatpin	şapka iğnesi
interrogator	sorgu yargıcı
thrice	üç kere
Fertile Crescent	Bereketli Hilal
Alabama	Alabamaca
Laptev Sea	Laptev Denizi
relative atomic mass	bağıl atomik kütle
muleteer	katırcı
teak	tik ağacı
wedding cake	düğün pastası
sine qua non	olmazsa olmaz
incur	uğramak yakalanmak
type	çeşit
sledge	kızak
persuade	ikna etmek
enormity	alçaklık
process	işlem
jargon	argo
ever	asla
align	hizalamak
hooked	düşkün
anchor	çıpa
hymen	kızlık zarı
sentience	bilinçlilik
necktie	boyunbağı
cozy	hoş
gudgeon	çengel
oft	çoğu kez
immovable	sabit
Doric	Dorik
aggressor	saldırgan
calcination	kavurma
rowboat	sandal
sailplane	kayık
enrichment	zenginleşme
jubilation	bayram etme
multifaceted	renkli
washrag	sabun bezi
Sardinia	Sardinya
keep up	tutmak
exabyte	eksabayt
somnambulism	uyurgezerlik
Bengal tiger	Bengal kaplanı
computer program	bilgisayar programı
full-size	tam-boyut
man-eater	insan yiyici
Hebrew	İbranice
mark	işaretlemek
annoyance	alınganlık
approbation	beğenme
unfortunate	bedbaht
pay	ödemek
Qatar	Katar
attenuate	azaltmak
invalid	geçersiz
breathalyzer	baykuş
indicator	gösterge
meditate	düşünceye dalmak
nostril	burun deliği
washer	rondela
sporty	canlı
pneumothorax	ciğer söndürme
fusty	köhne
sinew	kiriş
blue tit	mavi baştankara
surrender	teslim olmak
maths	matematik
personal	özel
mahogany	maun
flycatcher	sinekçil
spirograph	nefes resmi çizicisi
oxygen	oksijen
pariah	parya
trilogy	triloji
Apollo	Apollon
biochemical	biyokimyasal
null set	boş küme
ultimatum	ültimatom
nodular	düğüme ait
angle of attack	hücum açısı
friendly fire	dost ateşi
gassy	gazlı
information	bilgi
aphonia	afoni
unhealthy	sağlıksız
Andorran	andorralı
coat hanger	askı
furious	öfkeli
undersecretary	bakanlık müsteşarı
breach	gedik
commander	komutan
preside	başkanlık etmek
conscience	vicdan
lyre	lir
cocoa	kakao
palatal	damaksıl
sensuality	duyarlık
obtrusive	fırlak
pregnancy	hamilelik
Uranus	Uranüs
imaginative	yaratıcı
come off	kopmak
chromosome	kromozom
toadflax	nevruz otu
Vesuvius	Vezüv
cello	viyolonsel
artifact	insan yapımı
sprocket	zincir dişlisi
Calabria	Calabria
Catullus	Catullus
basketball player	basketbolcu
cull	toplamak
Malayalam	Malayalam
Tamil	Tamil
dismiss	azletmek
distract	yönlendirmek
extinguisher	söndürücü
oral	sözlü
relationship	akrabalık
grocer	bakkal
division	tümen
buildup	artış
whale	balina
banjo	banco
millennium	binyıl
guinea fowl	beçtavuğu
mingle	karışmak
cumulate	birikmek
unclear	bulanık
furnace	fırın
flier	el ilânı
trust	güven
mash	ezme püre
pleonasm	haşiv
smiley	güleç
odorous	kokulu
pernicious	zararlı
reconstruct	imar etmek
doorknob	tokmak
elm	karaağaç
carbon dioxide	karbondioksit
intoxicate	kendinden geçirmek
notepaper	kırtasiye
downsizing	küçültme
mechanics	mekanik
oak	meşe
nickel	nikel
depopulate	nüfusunu azaltmak
sex organ	organ
cryptanalysis	şifre çözme ilmi
examiner	sorgu hakimi
WTO	Dünya Ticaret Örgütü
evacuation	boşaltım
North African	Kuzey Afrikalı
Slavic	Slav
promptness	acele
tough	bedbaht
relent	yumuşamak
chap	çatlak
gob	küme
catch	tutmak
sequin	payet
allusion	ima
sword	kılıç
split	bölmek
banknote	banknot
again	tekrar
choroid	buna benzer
behaviour	davranış
renegade	dönek
overdraw	fazla para çekmek
cable	kablo
annulus	halka
stretcher	sedye
womanly	kadınca
bloodiness	kanlılık
sinkhole	obruk
Federated States of Micronesia	Mikronezya Federal Devletleri
stylish	modaya uygun
respiration	solunum
thereabout	o civarda
tarantula	İtalyan örümceği
supersonic	sesüstü
sonnet	sone
Stockholm	Stokholm
aquavit	Ukraynaca
Tswana	Setsvana
Mont Blanc	Mont Blanc
geodesy	jeodezi
Romance language	Roman dili
Kiribati	Kiribati
irritable	aksi
proof	ispat
delude	aldatmak
at once	hemen
dad	baba
bard	ozan
venture	cesaret etmek
congener	soydaş
collective	müşterek
impact	etki
mulct	cereme
worldwide	cihanşümul
lodestar	çobanyıldızı
hugely	çok
nigger	zenci
diopter	diyoptri
anniversary	yıldönümü
proletarian	emekçi
ophthalmology	gözbilim
nostrum	her derde deva
hydrolysis	hidroliz
shire	shire
wholesaler	karaborsacı
boathouse	kayıkhane
cockade	kokart
blueberry	yaban mersini
accountancy	muhasebe
coop up	sıkıştırmak
collegiate	üniversite ile ilgili
Karachi	Karaçi
Middle English	Ortaçağ İngilizcesi
New York City	New York
M-theory	M-Kuramı
Muharram	Muharrem
initialize	ilklendirmek
clubbing	çomak parmak
Arabist	Arap dili ve edebiyatı alimi
hematoma	hematom
demonstrate	seçmek
conformist	uymacı
imp	cin
blaze	alev
job	iş
liquidate	lağvetmek
portal	kapı
surveying	araştırma
wag	çalkalamak
helmet	kask
overhead	yukarıda
fertile	verimli
ply	kalınlık
transom	vasistas
malformed	kusurlu
mosquito net	cibinlik
dynamo	dinamo
flu	grip
sycamore	firavuninciri
physicist	fizikçi
arbitrary	gelişigüzel
wonderland	harikalar diyarı
theologist	ilahiyatçı
corresponding	ilişkin
rock pigeon	kaya güvercini
glasshouse	limonluk
censorship	sansür
high-pressure	sinir bozucu
water vapor	su buharı
cinnabar	zincifre
pleasingly	tatlılıkla
mismatch	uygunsuz birleşme
Santa Fe	Santa Fe
weightlessness	ağırlıksız durum
anthropological	antropolojik
great power	büyük güç
Aboriginal	Aborjin
Horn of Africa	Afrika Boynuzu
Kannada	Kannada
twilight	tan
boot	çizme
message	haber
virtually	gerçekte
comeback	eski formunu bulma
brigade	tugay
cut off	kesmek
determine	belirlemek
multiply	çarpmak
decide	karar vermek
memorize	ezberlemek
monovular	benzer
oval	oval
squab	bodur
plumbing	boru tesisatçılığı
decree	emir
duplex	çift
demiurge	demiurgos
nonagenarian	doksanlık
candle	mum
domination	egemenlik
estrogen	östrojen
disdain	küçük görme aşağılama
weekly	haftalık
dumbbell	hanter
figment	hayal
polar bear	kutup ayısı
causal	nedensel
Archimedes	Arşimet
geocentric	yermerkezli
won	kazanıldı
endow	gelir bağlamak
filthy	açık saçık
jaw	çene
pinto	benekli
alluring	alımlı
central	merkezi
impala	antilop
mediator	temsilci
swing	salıncak
barn swallow	kır kırlangıcı
weather	hava
trance	trans
unconsciousness	baygınlık
quicken	çabuklaştırmak
write down	düşük yazmak
joy	sevinç
erg	erg
grieve	üzmek
reverence	hürmet
Islam	İslam
expropriate	istimlak etmek
Swiss	İsviçreli
ensiform	kılıç şeklinde kılıçsı
plush	pelüş
wind instrument	üflemeli çalgı
telephone number	telefon numarası
Hades	tamu
doorbell	zil
Cepheus	Kral
Juno	Juno
mute swan	sessiz kuğu
Cape of Good Hope	Ümit Burnu
national park	ulusal park
sixteenth	on altıncı
iambic	bir kısa bir uzun hece ölçüsünde
silversmith	gümüşçü
excellently	hayret verici biçimde
northwest by north	karayel kerte yıldız
penalty	ceza
fish bowl	akvaryum
tame	ehlileştirmek
shame	utanç
Republic of Albania	Arnavutluk Cumhuriyeti
angry	kızgın
roughly	kabaca
blackberry	böğürtlen
scandal	skandal
Sea of Azov	Azak Denizi
berkelium	berkelyum
prank	eşek şakası
asperse	çamur atmak
ecology	ekoloji
rickety	raşitik
stolid	duygusuz
habitation	ev
bowtie	papyon
livable	yaşanabilir
underpants	külot
mince	kıyma
bran	kepek
sharpshooter	keskin nişancı
afield	kıra
chorister	koro üyesi
cerumen	kulak kiri
neptunium	neptünyum
Rawalpindi	Rawalpindi
sixth sense	altıncı his
psoriasis	sedef hastalığı
UFO	UFO
Auvergne	Auvergne
Frisbee	frizbi
aqua regia	kral suyu
tax haven	vergi cenneti
stagnation	stagnasyon
flog	kamçılamak dövmek
affirmation	teyit
reckon	hesaplamak
everyday	adi
choke	boğmak
usually	genellikle
expletive	fazla
nerve	sinir
gaze	bakmak
white wine	beyaz şarap
brown	kahverengi
let	izin vermek
cycle	bisiklet
disorient	bozmak
tent	çadır
caesura	durgu
cadge	dilenmek
eruption	kabarık
correctness	doğruluk
asynchronous	zaman uyumsuz
percent	yüzde
scab	kabuk
hulk	hantal
irreproachable	kusur bulunamaz
thermosphere	ısıküre
materialistic	özdeksel
oxtail	kıç
monarchism	manastır hayatı
Kingdom of Norway	Norveç Krallığı
inapplicable	uymaz
somnambulist	uyurgezer
egg yolk	yumurta
Agamemnon	Agememnon
crystallization	kristalleşme
frankly	açıkça
freedom	hürriyet
mental	ruhsal
illusion	yanılsama
suddenly	aniden
disciple	mürit
desire	arzu
usury	tefecilik
modern	çağdaş
ochlocracy	oklokrasi
urinal	helâ
condolence	başsağlığı
border	sınır
evocative	çağıran
dehisce	çatlamak
traction	çekme
wall	duvar
bogey	cin
detergent	deterjan
kestrel	kerkenez
schoolboy	öğrenci
come up	gelmek
brittle	kırılgan
dynasty	hanedan soy
molehill	köstebek tepesi
ligneous	odunsu
Pakistan	Pakistan
cornflower	peygamber çiçeği
prefab	prefabrike yapı
mobilisation	seferberlik
backwash	serpinti
aqueous	sulu
technetium	teknetyum
escalator	yürüyen merdiven
Avicenna	İbn-i Sina
eider	pufla
doctoral	doktora
Puerto Rican	Porto Rikolu
fantastic	hayali
press	pres
bright	parlak
massive	yığınsal
lung	akciğer
captivate	büyülemek
down	aşağı
abstruse	derin
augmentation	artırma
downstairs	aşağıda
sight	görme
Baltic	Baltik
powder	toz
gooseberry	bektaşi üzümü
indeterminate	bellisiz
dot	nokta
botanist	bitkiler bilgini
visit	ziyaret etmek
coition	çiftleşme
greenness	yeşillik
phobia	fobi
posterity	zürriyet
Apostle	havari
stertorous	hırıltlyla
Catalonia	Katalonya
osteomyelitis	kemik iliği iltihabı
unambiguously	muhakkak
pompon	ponpon
Saint Lucia	Saint Lucia
buffer	tampon
Pentagon	Pentagon
Saint Valentine's Day	Sevgililer Günü
narcolepsy	narkolepsi
New England	New England
patriarchal	yaşlı ve saygıdeğer
separatist	ayrılık yanlısı
virtuosity	virtüözlük
Omani	Ummanlı
hypochondriasis	hipokondriya
curious	meraklı
quiz	alay
sly	kurnaz
outside	dışarı
blue	mavi
regard	bakmak
pen	kalem
burdensome	ağır
disunity	ahenksizlik
concern	endişe
detention	alıkoyma
fanny	amcık
moment	an
tailgate	arka kapak
lordship	egemenlik
make out	doldurmak
cultivate	beslemek
sultan	sultan
commit	yerleştirmek
cremate	yakmak
navy	donanma
auscultation	dinleme
refrigerate	dondurucu
daughter-in-law	gelin
delinquency	suçluluk
Lydian	Lidya
Kazan	Kazan
flooring	taban
historical	tarihsel
frying pan	tava
Incheon	İncheon
Kansas	Kansas
Minneapolis	Minneapolis
Montreal	Montreal
raw material	ham madde
magnetosphere	magnetosfer
good	iyi
Kurdish	Kürtçe
enlarge	büyültmek
craft	beceri
crossbow	arbalet
break up	ayırmak
prune	kuru erik
smother	boğmak
delineate	resmetmek
Myanmar	Myanmar
sludge	çamur
atmospheric	atmosferik
quicksilver	cıva
federalize	devletleri birleştirmek
